Master ID,Legacy IDs,Domain,Subsystem,Finding Title,Severity,Status,Root Cause,Verification Required
GF-MASTER-0024,GF-EDM-028|GF-EDM-047|GF-EDM-067,Study,Reactive equipment,Prepared shunt integration lacks execution proof,HIGH,OPEN,Source remediation not runtime verified,Yes
GF-MASTER-0025,GF-EDM-050|GF-EDM-063,Study,PU-YBus,PU and YBus boundary deep immutability and sweep incomplete,HIGH,OPEN,Canonical PU exists and nested matrix remains mutable,Yes
GF-MASTER-0026,GF-EDM-051–054,Study,Short Circuit,Detached SC preparation and result boundary unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Source-level boundary lacks execution proof,Yes
GF-MASTER-0027,GF-EDM-055–057,Protection,Study preparation,Protection study and execution boundary unverified,HIGH,OPEN,Detached preparation exists without end-to-end proof,Yes
GF-MASTER-0028,GF-EDM-030–037|GF-EDM-038–045|GF-AUD-204|GF-AUD-205,Protection,Measurement,Measurement architecture reconciled but tests unexecuted,HIGH,REMEDIATED — VERIFICATION DEFERRED,Conversion and channel fixes lack runtime proof,Yes
GF-MASTER-0029,GF-EDM-069,Protection,Breaker trip,Protection decision Application boundary unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Source correction exists without integration execution,Yes
GF-MASTER-0030,GF-EDM-058|GF-EDM-059|GF-EDM-060|GF-EDM-061|GF-EDM-068,Dynamics,Capability boundary,Dynamics capabilities deferred,HIGH,DEFERRED,Historical scope explicitly deferred absent capability,Yes
GF-MASTER-0031,GF-AUD-206|GF-AUD-216|GF-PERSIST-A7|GF-PERSIST-A8|GF-PERSIST-A11,Persistence,Project package,Canonical project persistence round-trip unverified,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,Package exists without full semantic round-trip evidence,Yes
GF-MASTER-0032,GF-PERSIST-A7|GF-PERSIST-A8|GF-PERSIST-A11,Persistence,Migration,Legacy engineering representation metadata handling unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Ambiguity rejection exists without corpus proof,Yes
GF-MASTER-0033,,Persistence,Dynamics association,Dynamic model persistence round-trip unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Source wiring lacks reconstruction execution proof,Yes
GF-MASTER-0034,,Persistence,Protection serialization,Relay and protection persistence reconstruction unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Source serialization lacks semantic round-trip proof,Yes
GF-MASTER-0035,GF-AUD-018,Application,Events,Batch 1A semantic-event provenance loss,HIGH,REMEDIATED — VERIFICATION DEFERRED,Model semantic-event publication previously omitted command correlation_id and causation_id; source correction now passes command provenance into ElementCreated ElementRemoved ElementUpdated TopologyChanged and NetworkChanged; runtime consumer verification remains deferred,Yes
GF-MASTER-0036,,Application,Revision-validation,RevisionService is not integrated with project activation/replacement lifecycle,HIGH,REMEDIATED — VERIFICATION DEFERRED,Application remains the sole project-transition revision coordinator via _run_project_transition(): it snapshots RevisionService before lifecycle transition, restores the exact prior revision state on failure, and resets the revision only after successful activation; bootstrap.activate_project_state() no longer snapshots/restores/resets revision state; execute/undo/redo/presentation/save revision paths remain intact; runtime verification deferred,Yes
GF-MASTER-0037,,Application,Command-transaction-history,Batch 1A Application mutation and undo-redo semantic-event provenance,HIGH,REMEDIATED — VERIFICATION DEFERRED,Application execute undo and redo retain the original immutable Command through CommandManager history and semantic publication; corrected model/network/topology events now preserve that command provenance; runtime verification remains deferred,Yes
GF-MASTER-0038,,SLD,Identity,Parallel UI equipment and terminal identity reconciled through EquipmentTerminal/SnapResult/EndpointIdentityAdapter/EndpointReference/Application Command boundary,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,Static Batch 1E source evidence separates presentation terminal identity from canonical Core identity; runtime verification deferred,Yes
GF-MASTER-0039,,SLD,Topology,Connection lifecycle and topology migration unverified,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,UI connection state does not own global topology; the Application/Core topology lifecycle and Simple Wire command path are source-proven.,No runtime verification
GF-MASTER-0040,,SLD,Projection-rendering,Rendering separation exists but coverage and runtime unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Semantic coverage incomplete and no runtime proof,Yes
GF-MASTER-0041,,Core,Authority-topology-equipment,Core NetworkRegistry terminal ownership EndpointReference topology lifecycle and Application mutation boundary source-reconciled,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,Static Batch 1E evidence confirms Core Network/topology ownership and Application command boundary; runtime verification deferred,Yes
GF-MASTER-0042,,Control,Control-automation,Control and ladder command integration incomplete,HIGH,OPEN,Complete current control chain not demonstrated,Yes
GF-MASTER-0043,,Architecture,Migration-redundancy,Retired UI connection architecture and stale topology documentation reconciled to current ui.connections/Application-Core path,HIGH,REMEDIATED — VERIFICATION DEFERRED,ui.topology retired; TopologyAdapter documentation removed; ConnectionPreview unified; canonical Application/Core mutation preserved; historical evidence retained; runtime verification deferred,Yes
GF-MASTER-0044,,Runtime,Verification,Source-level remediation lacks complete executable evidence,HIGH,OPEN,Successful current test campaign not established,Yes
GF-MASTER-0045,NEW contextual hover-readout,UI-SLD,Canvas interaction,Contextual engineering-state hover and readout contract remains open,MEDIUM,OPEN,No canonical composed interaction contract proven,Yes
GF-MASTER-0046,GF-AUD-001|GF-AUD-002|GF-AUD-004|GF-AUD-008|GF-AUD-009|GF-AUD-010|GF-AUD-011,Architecture,Historical aligned findings,Historical aligned findings lack fresh executable verification,MEDIUM,OPEN,Historical source evidence is not current execution evidence,Yes
GF-MASTER-0047,GF-ARCH-A1|GF-ARCH-A2|GF-ARCH-A4|GF-ARCH-A5|GF-ARCH-A6|GF-ARCH-A7|GF-ARCH-A8|GF-ARCH-A9|GF-ARCH-A19|GF-ARCH-A20|GF-SLD-A1|GF-SLD-A2|GF-SLD-A4|GF-SLD-A5|GF-SLD-A6|GF-SLD-A7|GF-SLD-A8|GF-SLD-A53|GF-APP-A1|GF-APP-A2|GF-APP-A4|GF-APP-A5|GF-APP-A6|GF-APP-A7|GF-APP-A9|GF-APP-A10|GF-APP-A11|GF-APP-A12|GF-APP-A14|GF-APP-A15|GF-APP-A16|GF-APP-A18|GF-APP-A19|GF-APP-A20|GF-APP-A22|GF-APP-A23|GF-APP-A24|GF-CORE-A12|GF-CORE-A15|GF-CORE-A16|GF-CORE-A19|GF-CORE-A20|GF-PERSIST-A1|GF-PERSIST-A5|GF-PERSIST-A6|GF-PERSIST-A9|GF-PERSIST-A10,Architecture,Historical mandatory-ID coverage,Historical IDs preserved but source text not recovered,MEDIUM,OPEN,Exact root cause cannot be inferred safely from ID alone,Yes
GF-MASTER-0048,GF-ARCH-A3|GF-ARCH-A10|GF-ARCH-A12|GF-ARCH-A13|GF-ARCH-A14|GF-ARCH-A15|GF-ARCH-A17|GF-ARCH-A18|GF-ARCH-A22|GF-ARCH-A23|GF-ARCH-A26|GF-ARCH-A29|GF-ARCH-A30|GF-ARCH-A31|GF-ARCH-A32|GF-ARCH-A33|GF-ARCH-A35|GF-ARCH-A36|GF-ARCH-A37|GF-ARCH-A39|GF-ARCH-A40|GF-ARCH-A41|GF-ARCH-A42|GF-ARCH-A43|GF-ARCH-A44|GF-APP-A3|GF-APP-A8|GF-APP-A13|GF-APP-A27|GF-APP-A28|GF-APP-A29|GF-APP-A30|GF-APP-A31|GF-APP-A32|GF-APP-A33|GF-APP-A34|GF-APP-A36|GF-APP-A37a|GF-APP-A38|GF-APP-A39|GF-APP-A41|GF-APP-A42|GF-SLD-A3|GF-SLD-A9|GF-SLD-A10|GF-SLD-A11|GF-SLD-A12|GF-SLD-A13|GF-SLD-A14|GF-SLD-A15|GF-SLD-A16|GF-SLD-A17|GF-SLD-A18|GF-SLD-A19|GF-SLD-A20|GF-SLD-A21|GF-SLD-A22|GF-SLD-A23|GF-SLD-A24|GF-SLD-A25|GF-SLD-A26|GF-SLD-A27|GF-SLD-A28|GF-SLD-A29|GF-SLD-A30|GF-SLD-A31|GF-SLD-A33|GF-SLD-A34|GF-SLD-A35|GF-SLD-A37|GF-SLD-A38|GF-SLD-A39|GF-SLD-A40|GF-SLD-A41|GF-SLD-A42|GF-SLD-A43|GF-SLD-A44|GF-SLD-A45|GF-SLD-A46|GF-SLD-A47|GF-SLD-A48|GF-SLD-A49|GF-SLD-A50|GF-SLD-A52|GF-SLD-A54|GF-SLD-A55|GF-CORE-A13|GF-CORE-A17|GF-CORE-A18|GF-CORE-A21|GF-CORE-A22|GF-PERSIST-A7|GF-PERSIST-A8|GF-PERSIST-A11|GF-STUDY-A1|GF-STUDY-A2|GF-STUDY-A3|GF-STUDY-A4|GF-STUDY-A5|GF-STUDY-A6|GF-DOC-A1,Architecture-Core-Application-UI-SLD-Persistence-Study-Documentation,Historical mandatory-ID coverage,Preservation holding area for mandatory historical IDs,MEDIUM,OPEN,Original detailed text is not present in currently inspected registers,Yes
GF-MASTER-0049,GF-WF-036-001,Validation,Application Validation,Relay models are omitted from Application project validation sweep,HIGH,STATIC CLOSED,ValidationService enumerates NetworkRegistry collections but omits the authoritative Relay collection even though Relay is a first-class Core model with validate(),Yes
GF-MASTER-0050,RCA-SLD-AUTH-001,SLD,Authority-integration,Canonical semantic SLD reconciliation seam required correction and re-audit,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,Application semantic events must reconcile authoritative ReadModels into SLDDocument without tool-specific SLD mutation; Batch 1C additionally restores canonical SET_SLD_NODE_PRESENTATION handler reachability and preserves node presentation in RemoveSLDNode undo restoration.,No runtime verification
GF-MASTER-0051,RCA-SLD-AUTH-001-B31-001,SLD,Projection-document bridge,Semantic ReadModel to SLDDocument reconciliation seam corrected,HIGH,STATICALLY VERIFIED,SLDReadSynchronizer is the existing Application/UI integration seam and now supports deterministic initial placement hints,Runtime verification deferred
GF-MASTER-0052,RCA-SLD-AUTH-001-B32-001,SLD,Presentation integration,Canvas rendering consumes the reconciled SLD document through renderer-neutral projection,HIGH,STATICALLY VERIFIED,SLDDocument → SLDCanvasProjection → SLDCanvasRenderSystem → SLDGraphicsItemFactory is statically present,Runtime verification deferred
GF-MASTER-0053,RCA-003-B35-001,Application,Command authority,Legacy application.place_bus compound path reconciled to canonical model.create_bus,HIGH,STATICALLY VERIFIED,PlaceBusCommand now emits canonical CREATE_BUS; compound placement handler and obsolete semantic branch removed,Runtime verification deferred
GF-MASTER-0054,ApplicationResult Core-object exposure,Application,Result contract,ApplicationResult.value remains an Application-internal Core/service result and is not forwarded to UI/SLD consumers,HIGH,STATIC CLOSED,ApplicationResult explicitly documents value as Application-internal; repository-wide static tracing found no concrete UI/SLD consumer forwarding value, and UI-facing architecture remains ReadModel/event/projection based,No
GF-MASTER-0055,Terminal identity,SLD,Endpoint identity,Generic multi-terminal presentation identity reconciled through SnapResult to EndpointReference and canonical Application command intent,HIGH,REMEDIATED — VERIFICATION DEFERRED,EndpointIdentityAdapter validates presentation terminal role and equipment identity without promoting terminal_id; connection commands accept EndpointReference only,Runtime verification deferred
GF-MASTER-0056,RCA-SLD-AUTH-001-B36-001,SLD,Reconciliation runtime integrity,Reconciliation modules had unresolved runtime symbol/import references and event/document contract mismatches,HIGH,REMEDIATED — VERIFICATION DEFERRED,"ui/sld/sld_read_synchronizer.py and ui/events/sld_update_coordinator.py were corrected to use explicit SLD model imports, ApplicationEvent.payload, explicit document binding, and domain-scoped reconciliation",Static source correction only; no tests or CI
GF-MASTER-0057,RCA-SLD-AUTH-001,SLD,Authority-integration,SLDUpdateCoordinator reuses canonical synchronizer projection manager,HIGH,REMEDIATED — VERIFICATION DEFERRED,Coordinator uses synchronizer.projection_manager; no second projection manager,No runtime verification
GF-MASTER-0058,RCA-UI-DOCUMENT-002,UI,Document authority,SLDController is downstream to Application presentation,HIGH,REMEDIATED — VERIFICATION DEFERRED,Controller activation requires Application.presentation identity,No runtime verification
GF-MASTER-0059,RCA-UI-DOCUMENT-004,UI,Document lifecycle,SLDService binding is constrained to Application-authoritative presentation,HIGH,REMEDIATED — VERIFICATION DEFERRED,SLDService rejects unrelated document binding and project lifecycle establishes the Application-authoritative presentation before presentation activation.,Runtime verification deferred
GF-MASTER-0060,RCA-UI-DOCUMENT-006,UI,Document lifecycle,Project close clears stale SLD controller state,HIGH,REMEDIATED — VERIFICATION DEFERRED,SLDController handles ProjectClosed and clears active document state; Application presentation is cleared during project close.,No runtime verification
GF-MASTER-0061,RCA-UI-DOCUMENT-003 / RCA-UI-DOCUMENT-007,UI,Plugin context,Lifecycle-safe Application presentation accessor added to PluginContext,MEDIUM,REMEDIATED — VERIFICATION DEFERRED,sld_document retained only as compatibility snapshot; active_presentation_document reads Application.presentation,Runtime verification deferred
GF-MASTER-0062,RCA-UI-BOOTSTRAP-003,UI,Bootstrap,Redundant startup project activation,HIGH,OPEN,main.py now configures the presentation factory before one explicit new_project activation and binds the resulting active presentation; no bootstrap SLD document is created for the transient initial context,Runtime verification deferred
GF-MASTER-0063,RCA-UI-BOOTSTRAP-004,UI,Projection bootstrap,Deterministic current-state projection reconciliation added,HIGH,STATIC CLOSED,SLDUpdateCoordinator.reconcile_current_state reconciles Application read state after projection construction,No runtime verification
GF-MASTER-0064,RCA-UI-BOOTSTRAP-005,UI,Lifecycle authority,Workspace remains downstream of Application lifecycle,HIGH,REMEDIATED — VERIFICATION DEFERRED,No second Core project lifecycle authority introduced,Runtime verification deferred
GF-MASTER-0065,RCA-UI-WORKSPACE-001,UI,Workspace rollback,WorkspaceRealizer compensates failed realization using prior layout,HIGH,REMEDIATED — VERIFICATION DEFERRED,Partial Qt realization is followed by deterministic restoration attempt,Runtime verification deferred
GF-MASTER-0066,RCA-SLD-AUTH-002,SLD,Reference validation,Authored SLD equipment references are validated through Application read state,HIGH,STATIC CLOSED,SLDService validates network/protection read models before authored node creation,No runtime verification
GF-MASTER-0067,RCA-SLD-CONN-002,SLD,Terminal/snap identity,Canonical terminal identity / terminal realization,HIGH,STATICALLY VERIFIED,Complete Core Terminal to SLD terminal to anchor to snap resolution is statically reconciled through EquipmentTerminal; EquipmentItem.snap_points(); SnapResult; and EndpointIdentityAdapter,Runtime verification deferred
GF-MASTER-0068,RCA-SLD-PREVIEW-001,SLD,Preview,Bus placement preview uses existing PreviewLayer architecture,MEDIUM,STATIC CLOSED,PreviewLayer.show_bus and BusTool lifecycle are transient and presentation-only,No runtime verification
GF-MASTER-0069,RCA-SLD-INTERACTION-002,UI,Interaction state,Concrete tools still retain local interaction state,MEDIUM,STATIC CLOSED,Concrete tool endpoint/preview state is transient interaction state and is not a competing Core or persistent SLD authority.,Static source verification; runtime deferred
GF-MASTER-0070,RCA-APP-ID-001,Application,Identity compatibility,Measurement identity vocabulary sweep remains source-pending,HIGH,OPEN,Measurement identity compatibility was not renamed or deleted without a complete consumer and persistence sweep,Source evidence pending
GF-MASTER-0071,RCA-SLD-CMD-001,Application,Command authority,Canonical placement command vocabulary retained,HIGH,STATIC CLOSED,Existing creation commands and compatibility PlaceBusCommand use the single Application command registry,No runtime verification
GF-MASTER-0072,RCA-APP-VALIDATION-001,Application,Validation lifecycle,ValidationService cached validation is invalidated/reset across project activation and replacement lifecycle,HIGH,REMEDIATED — VERIFICATION DEFERRED,Application remains the sole project-transition validation coordinator via _run_project_transition(): successful activation invalidates ValidationService after lifecycle commit while failed activation does not invalidate; bootstrap.activate_project_state() no longer performs validation invalidation; execute/undo/redo invalidation remains intact; runtime verification deferred,Yes
GF-MASTER-0073,RCA-APP-ENDPOINT-001,Application,Endpoint identity,Canonical EndpointReference now supports terminal resolution for unconnected terminals,CRITICAL,STATIC CLOSED,resolve_terminal_reference extends existing endpoint vocabulary without a second identity model,No runtime verification
GF-MASTER-0074,RCA-SLD-CONN-001,SLD,Connection workflow,Canonical Application electrical connection/reconnection use cases added,CRITICAL,REMEDIATED — VERIFICATION DEFERRED,Commands handlers service EndpointReference resolution Core attach/detach Network invalidation transaction undo semantic topology events and SLD reconciliation are source-present,Runtime verification deferred
GF-MASTER-0075,RCA-TOPO-CONDUCT-001,Core,Topology,Switching-family conduction contract,HIGH,STATIC CLOSED,"TopologyManager uses model-provided conducts when available and explicit fallback semantics for Breaker, Switch/Disconnector, Fuse, and generic Branch/Line/Cable/Transformer families; unsupported objects return false",Static source verification; runtime deferred
GF-CTRL-CONSOLIDATED-20260926,"GF-CTRL-B-004|GF-CTRL-D-003|GF-CTRL-D-004|GF-CTRL-E-002|GF-CTRL-E-006|GF-CTRL-I-001|GF-CTRL-I-002|GF-CTRL-I-004|GF-CTRL-I-008|GF-CTRL-J-003|GF-CTRL-J-004|GF-CTRL-K-001|GF-CTRL-K-005|GF-CTRL-L-001|GF-CTRL-L-002|GF-CTRL-L-003|GF-CTRL-L-004|GF-CTRL-M-001|GF-CTRL-M-006|GF-CTRL-N-001|GF-CTRL-N-002|GF-CTRL-N-003|GF-CTRL-O-001|GF-CTRL-P-001|GF-CTRL-P-002|GF-CTRL-P-003|GF-CTRL-P-004|GF-CTRL-Q-002|GF-CTRL-Q-003|GF-CTRL-R-001|GF-CTRL-R-002|GF-CTRL-R-003|GF-CTRL-R-004",Control,Control subsystem,Consolidated Control remediation root-cause record,HIGH,REMEDIATED — VERIFICATION DEFERRED,"One project-owned ControlConfiguration; Application-owned lifecycle/read boundary; versioned persistence/reconstruction; immutable commands; atomic LogicEngine evaluation; ActionBinding/interlock/dynamic configuration; semantic undo/redo; quality-aware signal contract; solver-neutral DynamicControl adapter/global layout. Full AVR/PSS physical excitation and complete DAE wiring remain deferred because the current classical machine model exposes fixed Efd.",Yes
